author,text
Goguma Pizza,"진짜 중국은 신인듯





병신"
정용진,진짜 우리가 못 까서 못 까는 줄 아나 진짜 수준 떨어지는 나라다.. 저게 나라냐? 가슴이 옹졸해진다..
토마스기관차,이 영상은 중국어 자막이 필요한 영상입니다
김욱진,코로나 빼고 다 지네거라 우기는 뻔뻔한 ㅅㄲ들
Ar belos,"샤이닝니키 , 방탄소년단 , K/DA 다 몇개월 되지도 않은 일들인데 죄다 중국하고 엮여있네;;"
굽쇠,차지다 👍
박성수,영어도 지들꺼라고 우기던 놈들임ㅋㅋ 나중가면 몸에 뭐 걸치는 옷이라는 물건의 기원이 지들이라고 우길놈들임 ㅋㅋㅋㅋ
호에엥,ㄹㅇ (중)국뽕도 적당히 빨아야지 지들끼리 예전에 조선이 명나라하고 군신관계였다고 자부심가지는거 뭐라고 하냐고... 사실이기도 하고 우리한테 피해만 안끼치면 입 여물겠는데...
낙타,지구에는 헤븐이 없는데요
박희웅,마지막 만화대사가 우려되지만 그래도 너무 대단하십니다
독도킥 마스터 기무장균,위구르족 언제 독립 시켜주노
묭이리,빠순이 순기능 ㅜㅜ♡
이형석,"사실 상 말이 안 통하는 상대를 바탕으로 말이 통하게 하라는 건데..
소를 육식동물로 만드는 게 더 쉽지 않을까.."
Jay,타워끼고 간신히 수비중인데 앞에서 춤추면서 잿불거인 도트딜 넣고 있는데 안빡치냐. 당연히 타워도 못참고 딜넣지.
redtiger0106,마지막에 내가 할 말 돌려서 해서 할 말이 없어졌잖아욧!!
박재벌,아~~~~ 미운짓만 골라서 하죠~~~
Little Mongoose,이젠 정상적인 사상을 가진 소수의 중국인도 싫어하게 됨.. 그냥 다싫음 이젠
최승우,와 딜 빡세네ㄷㄷ 노딱받는거 아냐?
ᄋᄋ,중국 시장이 너무 크잖아 ㅋㅋ 답 없음
K F,큰大땅덩어리 + 그릇좁은小인간들 = 中국
김김태근,이건 진짜 레전드 영상이다
파란갈비,저 나라에 존엄이 어딨다고 지키누
Jazz P Classic G,아~럼프형~~중국이왜저래~
IiiIiIiIi,역시 타이완 넘버원이라는 말이 괜히나온 말이아니야 ㅋㅋㅋㅋㅋㅋ
알약,치파오는 누구나라 의복이여ㅡ?
매지컬 아이도루 냥냥이,팩트-쟤네가 아무리 뭐라해봤자 천안문 만세 이러면 3일 후에 착해진다
TNTBoombs,성회형 진짜 형이다.ㅎㅎ 감동
chea,원신 거르고 니키 못 거른 제가 병신이었습니다..^^...
Southern Ignorance,캬...9분 짜리 영상으로 몇 대를 패는 거야...ㄷㄷㄷ
룰랭,이제 중국겜은 믿고 거르면 되겠네 ^^
냐옹고양이,왜 영어버젼 안만듬?
Rao,"진짜 미친련들 동북공정 짱이다! '짱'이야!
그러고보니까 섭종공지는 기존 카페 gm이 아니라 글 올리는 당일날 가입한 gm인데다 공지 말투도 어색해서 공산당 아니냐는 추측도 있던디
대단하다! '지구의 암세포'!"
moxnxaah,대통령이 중국따까린데 무얼ㅋㅋ
알약,오늘날부터 일어날 전쟁의 모든원인은 중국일 것 이다
cosmica,"중국이 중국했소 공산당이 공산당했소
진짜 이러고 싶을까? 관종 짓을 해야 직성 풀리나"
E Noesong,"짜장게임을 제발 하지마 그냥... 왜 하는건데? 뒷통수 치는거부터해서 개수작 떠는거 하루이틀도 아니고
왜 계속 짜장 게임 골라서 하다가 피해입으면 징징대는거야"
이재호,중국은 믿고 걸러야지 ㅋ
이부_,"성회 행님 이번 영상이 마지막 영상이 되는거 아니죠?
집에 모르는 손님이나 택배 오면 조심하십쇼 ㅋㅋㅋ"
진종이,"조선족 무시하지말고
한민족이라고 잘해줘라
한복이 고려에서 시작됐기에
조선족이 중국옷이라고 하면 이상해진다
조선족은 지금은 중국소속이다"
지나,마지막 핑핑이 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
KUMA TAMA,일본도 그렇고 중국도 그렇고 역사를 아주 그냥 자기 입맛대로 바꿔버리려고 하네. 한국 진짜 어떻게 살아남고 있는 거냐.
마눌,"중국 지들 손으로 지들 문화를 말살해놓고 남의 문화 돈으로 못뺏어오니 뗑깡씀...
역쉬 625때 핵을......."
KUMA TAMA,"지들 전통복장도 예쁘면서 왜 한복을 탈취하려고 그러는 건지, 원. 골 빈 내가 봐도 한국문화가 세계적으로 유명해지니까 그 유명세 탈취해가려고 그러는 걸로 밖에 안 보인단 말이야."
온리원픽버거,(시진)핑핑아! (시진)핑핑아! 마오(쩌둥)~
Boris,이제 얘들 영어가 중국어에서 파생된 사투리라고 하던데...ㅋㅋㅋㅋㅋㅋ
별*,"샤이닝니키는 하츠네미쿠랑 콜라보도 안했는데
터져버렸네"
어좁이,우리나라랑 중국국민들이랑 어쩜 저리 똑닮았냐..
물베기칼로,바이든이 트럼프 제끼고 대통되면 이제 한국은 그냥 넘어가는겨.....
온리원픽버거,"동북공정 결국은 한국으로 치면 두유노우 킴치 이런게 아니라 뻐킹 츄라이 킴치! 킴치 이즈 코리안!  이런거자너 ㅋㅋㅋㅋ  심지어 지들 옷도 아닌 한복갖고 ㅈㄹ떠는 거 보면 ""뻐킹 츄라이 만리장성 It is Korean"" ㅇㅈㄹ하는거자너"
SY7007,"세상 모든 언어가 결국 중국에서 비롯된 것이고 15세기 이전의 유럽의 역사는 없었으며 18-19세기 유럽의 근대화는 중국이 영향을 미친것이고, 마르크스사상도 자기네가 기원. 고대 그리스, 고대 로마, 고대 이집트의 문명이 전부 자기네들한테서 비롯되었다고 주장하는 연구하고 있으며 학회에서 발표함.
성서를 왜곡하고 성서 삽화도 전부 중국인으로 만들었음. ㅇㅇ 어메이징 차이나. 이것이 중국의 역사왜곡 수준입니다."
김희현,하긴 골수게이머 입장으로서 중국 좋아하는사람이 있나
안진원,???:훠훠훠 사실 한복은 중국이 만들어낸것 아니겠습니꽈?
AIUEOON,(시진)핑핑아 먀오(쩌둥)
구웨에에에엑,형 조심해 알앗지?
남기권,"역사를 알면 저런 말이 나올 수가 없는데, 다 구라를 가르치니 가능한 일이지요. 명 초기에는 원이 대륙 북부에서 초원지대로 물러가는 과정에 있었고, 원 후기 고려 계통이 영향력이 강해지고 복식이 유행하면서 고려양이라고 퍼진 게 남아 있었던 건데, 투피스 계열에서 얼마 안 지나서 원피스로 돌아간 것들이 더 오래 그리 입었던 지역에게 도발하는 꼴이라니..."
팍씨,"갑자기 에이전트 메이헴 생각난다
걔네들 게임에 서울이라 명시해놓고 동아시아 다 묶어서 서울이라 하든데...
중국은 이걸보고 뭔생각을 했을까..."
댓주워담이,"아 우리 방탄보유국이였지
아미들이 도움이 절실한때가 올줄이야 ㅋㅎㅋㅎ"
여우몬,세계적왕따당해도 즈그내수시장커서 잘산다는 마인드인가;;
JH L,"카카오, 넷마블 등에도 중국 자본 있는판에... 막기는 어려울 듯... 중국이 하는 행동들보면 어처구니는 없는데. 뭘 어떻게 해야할지도 모르겠음. 14억 인구의 의식이 하나로 뭉쳐지고. 오랫동안 이어져온 만리방화벽으로 완전 고여서 썩어가고 있으니;; 어휴.. 이 친구들을 어떡하나"
Ricky Rhee,중(민폐)국이 이러는 이유는 여러가지가 있지만 큰 이유는 공산당 독재 때문입니다. 민주화에 대한 열망을 과격한  국가애국주의로 대신 표출시키기 위함이죠. 부수로 경제적 정치적 영향력을 높일 수 있다는 큰 착각과 함께...
호로로롤,다 중국꺼라며 코로나는 왜 지들꺼 아니래ㅋㅋㅋㅋㅋ
Unusual,마지막 핑핑아 웃음벨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅌㅌㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
으컁캬르,is는 뭐하냐 중국 안 가고
두둠칫둠칫둠칫,근데 옷 역사상 명나라 옷 -> 한복 :  이게 맞음?
미나리,명나라 의복이 한복에 영향을 준게 아니고 오히려 고려양이라는 유행이 명나라 초기에 영향을 준 거
Lim Yujin,크흐!!사이다...!!중국어로 번역해서 보내주고 싶다
Purple Archmage,중국이건 일본이건 자꾸 뭘 지들꺼라하니...
Danny,중국 불매한다 ㅅㄱ
미렛사,이형 갑자기 사라지는거 아녀?
호에엥,미세먼지도 지들꺼 아니고 코로나도 지들꺼 아니고... 근데 한복은 지들꺼래ㅋㅋㅋㅋㅋㅋㅌㅋㅋ
0 0,"아 다행이다ㅠ
외국에 떠서 이제 다들 알고 계셔유ㅠㅠ"
꾸리꾸리,정말 더러운 국가다. 좋은 건 뺏고 잘못은 남 탓이고... 우한 바이러스 때문에 세계가 이꼴인데 저딴 말 같지도 않은걸 6.25 마냥 인해전술로 ㄱㅈㄹ이네... 저작권이란 개념이 1도 없는 국가가 ㄱㅅㄹ하네
ani soda,반대 하는건 중국 조선족이냐
[커피마니]Coffee Many,"대국이라기엔 속이 좁고
소국이라기엔 땅이 크니
중국이라 한다."
Donney Sallony,"도둑놈이 발저린다고
한복이 진짜 지들거면 그냥 잠잠하면 되는데
우리나라보다 더 열불냄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
븅신같은것들...
믿 고 거 르 는 짱 ㅇㅇ"
Song DaYeong,"샤이닝 니키 광고하는거 볼때부터 뭔가 찝찝하다 했더니 결국 터졌;
맨날 광고하는 역겨운 게임속 왕중엔 우리나라 곤룡포 비슷한 옷입고 등장하는 캐도 있던데요ㅎ
요즘 한복이 뜨는것 같으니까, 가지고 싶었나;"
Hololo,정부는 왜 찌익 소리도 못할까
E.A스트라이더,"일본이 입만 열면 열폭해대고 불매운동에 어쩌고 저쩌고는 하면서 
중국이 역사 가져가고 돈 가져가고 기업 빼았고 기술 훔치고 세금 타먹어 가고 
자국민 줘패고 죽이고 하는 건 찍소리도 못내고 있으니까 우리를 만만히 볼 수 밖에...

게임과 역사 문화만이 아니다. 조금만 둘러봐라. 
이미 대한민국은 중국에게 놀아난지 오래됐다."
-1 VEN,"기근에 배고파서 내집새끼 먹어버리고, 기근 끝나고 시간 지나서 늙고 힘없어지니까 남의 새끼가 내새끼였다 말하면서 떼쓰는 중국의 모습입니다"
김왈왈,역시 중국은 졸부야
vheh58,그래서 류효정씬 뭐하죠?
백수,"귀화자가 매년 1만명을 넘어 점점 늘어나는데..... 대다수는  중국인 조선족 
더불어민주당은 내년 부터 중국인 조선족 군입대를 가능하게 만듬
더불어민주당은 시민권이 없는 영주권을 가진 중국인이 투표를 가능하게 만듬
4.월 선거에서.......선관위는 중국인이 더 공평하다며 개표원을 중국인으로 썻다고 실토했고
한국 주류 언론 한국 엔터 회사들에 중국 자본이 없는 곳이 없습니다

민주당이 추진하는 태양광 발전은 한국 제품과 가격차이가 10% 더싸다고(성능은 한국제품이 압도합니다)
절대다수의 태양광 모듈을 중국 제품으로 써서 중국 태양광 업체는 대호황을 맞았습니다
그사이 우리나라 태양광 업체는 고사당하며 .....대한민국 태양광 1위 였던 OCI는 태양광 사업에서 철수 했습니다

이차전지 전기차 산업에서는 중국에게도 같은 보조금 지급을 하며
우체국 버스등 정부관여 분야에선 모조리 중국제품으로 채우는 중입니다

그리고 원전 폐기로 경영난에 빠진 한국전력에 중국이 투자를 가능하게 민주당이 만들었습니다
이미 중국이 ......사실상 필리핀의 전력망을 차지했고 지배중이죠....
그걸 지금 한국에서도 하고 있고 더불어민주당은 중국을 강력하게 도와주는 중입니다

그외에도 너무 많고 전방위적입니다 조금만 관심을 가지고 찾아보면 모두 팩트인걸 느낄겁니다"
장세현,"ㅋㅋ 한복은 니네가 만든거고, 우한폐렴은 니네꺼 아니냐?"
허지희,성회 형님 할 말 하시는 스탈이시라 이런 영상이 새롭진 않은데 워~~~낙 신비로운 그분들(?)에 혹여 해코지 당하시는 건 아닌지 걱정 되네요 ㅠㅠ 특히 마지막에 핑핑이의 울음소리 ㅠㅠ
퀸튼잭슨,"이 영상을 문정권이 싫어합니다
훠훠훠훠  중꿔몽과 함께하겠슙니돠"
백대한,"안 그래도 G식백과 인터뷰에도 나왔던 민주당 이상헌 의원이 중국산 저질게임과 역사왜곡 침투에 법안 실무로 대응한다고 업무를 하고 있더군요

성회형님 한번 더 방송 찍으러 가시면 좋을 듯 합니다"
rubin jang,09:12 핑핑아~핑핑아~마오~
김경환,"아이돌 유치하다고 머 방탄? 첨에 무시햇던거 반성합니다..
그리고 정치인들 반성하세요 
그리고 스펀지밥은 항상 옳다!"
이하루다,마지막ㅋㅋㅋㅋㅋㅋ 시진핑핑 마오쩌둥 ㅁㅊㅋㅋㅋㅋㅋㅋ
프테라,아 저 병x같은 게임 광고들이 중국 광고였어? -_-
나다,하지만 중간도 없다는 것이 함정이다...
zp zero,니네는 우한 바이러스라는 훌륭한 유산이 있잖아. 전 세계에서 대유행중이던데? 그걸로는 모자라니?
뚜링,중국은 소국이라 하기에는 땅덩어리가 너무 크고 그렇다고 대국이라 하기에는 국민성이 너~~~무 작아 중국이라 하였다
Jamming Code,꼴라야 너네 역사라고는 천안문에서 피떡갈비 만든거 밖에 없자너 ㅋㅋㅋㅋ
정다운,"7:11 중국이 정신 차릴려면, 중국이 지구에서.. 아니 이 세상에서 사라져야 합니다..."
총은나탄환은너,중국은 어지간히 우리가부러웠나 보다 ㅋㅋㅋㅋㅋ 자기들 정체성까지도 버려가면서 달라붙는게
머머리쨩,싫어요 100퍼 중국인이다 ㅋㅋ
동백나무바이올린,마지막 인체신비전 드립까지 오늘 영상은 모든 것이 완벽했다.
쿠라임,시진핑핑이 ㅋㅋㅋㅋㅋ
-hb Gjny,"http://www.youtube.com/shorts/XN7OrKvi58o

중공의 소수민족 실상

소수민족의 독립을 기원합니다"
삥뺙,ㅜㅜ 저 원신 엄청 좋아하는 원신 유저인데요.. 이번 사태로 원신에 불똥 튈까봐 너무 무서워요..
Meko Park,뭐 중국겜 광고는 사실상 구글을 까야될일
쿠이사Qooesa,동방예의지국이라는 중국중심의 발언도 좋다고 쓰지 맙시다.
여르여르,상대는 공산당이야!
Mondo Grosso,카트라이더도 중국한테 먹힌것처럼 ㅈㄴ컨셉 이상하게 가던데
김제성,"역사를 왜곡하는 나라에 
아름다운 미래는 없을지니~
항상 관심을 갖고 지켜봐야겠습니다"
인부,진짜 대국다운 면모다... 가슴이 옹졸해지는구나...
xhudib E,아 ㅋㅋ 인체의 신비로워지고 싶지 않음 공산당 빨아야지 암
즌갈단,중국의 민주화운동을 지지합니다. 천안문 항쟁 잊지 마세요.
maca maca,7:07 이탈리아는 원래부터 꾸준히 중국을 싫어했네 ㅋㅋㅋㅋ 현명한 사람들
Dure뭉스츠,위대했던 중국인들은 '천안문' 앞에서 죄다 탱크에 깔려 짓이겨졌다
입코,이걸 보고도 원신이 좋으십니까?
삥뺙, @입코  좋아하는건 개인의 자유잖아요 중국이나 중국게임이 좋은게 아니라 원신이라서 좋아한거니까요. 짝퉁게임에 중국게임이라도 좋은건 어쩔수없네여 ㅠㅠ 저도 별로 중국게임 좋아하고싶지 않은데.. 최애게임이라 어쩔수가..
123 hoho,중국자본이 이탈리아 조져놓은지 오래됬어요...
울트론,"코로나: 어이 이리
이탈리아: 코로나 어서오..."
부계정 // subchan.,"스페인도 중국이 조져놨지요.
실업문제 심각한데 일하는 사람은 중국인밖에 없다는 유머가..."
Takeda Shimamoto,"더 신기한건 아직도 호감을 갖는 비율이 24퍼로 스웨덴, 호주보다도 높다는거ㅋㅋㅋㅋㅋㅋ"
넵튠,중국인들 모가지 따고싶어 마렵네
침착한주펄,이정도면 합법으로 중국때리기 해야됨
밤톨,ㅋㅋㅋㅋㅋㅋ마지막에 개빵터졌다
kik kikkk,ㅈ...저건 공산당이아닙니다.... 그저 독제...국가일뿐이죠 거의 나치즘...
colso,형 딜 뭔데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
야굴,국위선양을 정부가 입꾹닫하고 방탄 팬들이 해주는 현실 ㅋㅋ 언론 정치계 죄다 중국돈 먹어서 입 싹닫음
진당,중국은 스스로 국가찐따로 변해가고 있군요
상당히 멍한 표정,존나 지들이 지들 손으로 빛나는 한족 문화유산 대혁명 때 싸그리 싹싹 때려부숴놓고 이제와서 남의 소중한 문화 도둑질 하려고 하는게 괘씸하기 짝이 없음;;
Faux Tales,에휴 그나라
MK Cha,"창의적으로 안되니 배 아프냐, 중국아?  한국, 일본 외 다른 나라 문화에 숫가락 올려놓지 말고 니네들 끼리 정말로 창의적이고 도전적인 것들을 하란 말이야. 그러니까 ㅇㅈㄹ 떠니까 좋으신 분들도 욕먹잖어..."
황제혁,"(시진)핑핑아~
먀오~(쪄뚱)"
이재범,아 이 분 급호감됐어
별루저Star_Loser,"중국 동북공정이 겜에도 씁  
진시황이 분서갱유로 동이에서 문화뿌리가 왔다는 거 싹 밀어버리고

일본 욱일승천기 극우뽕 또이또이
(중원 고구려비?도 턱회칠은 일본이 했으니?)

환단고기 처럼 국뽕은 없을순 없지만

한국 국뽕 역사겜은 임진록2 뿐인지라??? 

국보 보물들 회수하는 게임은 나올만도한데
문화제청에선 이런거 예산 안주겠지

역사스페셜 같은데 보니 건물이나 거북선 등 설계도들 3디 다있던데
왜 게임회사에 장려를 안하는건지

국뽕게임이라도 해보고프네 있다면,,,"
제루민,중국인이 한국이 K팝 뺏어갔다 빼액 거리는거 아직도 기억남ㅋㅋㄱㄱㅋ k팝의 k는 korea의 k라는걸 모르나봨ㅋㄱㅋㅋㅋㄱ 야 니들 씨팝이야~!!
Jinsoo Kim,중국 좋아히는 나라가 있을까???
상당히 멍한 표정,진짜 첨에 페이퍼게임즈 입장문 보고 깜짝 놀랐음;; 21세기에? 조국과 뜻이 같다는 말을? 그것도 사기업이? 와 진짜 광기로 가득찬것 같아서 진짜 개소름 돋았음..
kokoni kuma,광역민폐는 우리에게 이득이네.. 중국이라는 공공의 적 만들기에 써먹을 요소임
Joseph Kim,딜량보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
161 24,갑자기 싫어요 한 1만개 달려도 놀라지 마시긔
Mar_de_fuego,핑핑아 ㅋㅋ 마오 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
별루저Star_Loser,국뽕게임은 없나보구먼.
테츠,조팝인듯
ㅇㅇㄱ, @테츠  중은 씨팝이고 일이 조팝임
junyoung park,일부 혐한일본인들은 좋아함 한국 잘괴롭힌다고
junyoung park,그 일본판 일베같은 넷우익들은 한국놈들 일본것도 베끼더니 중국도베끼네!! 이러고있다고함
김인환,중국이 중국한거지 뭐
jy k,제발이거 중국어 자막 달아놨으면 좋겠따 ㅋㅋㅋ
김떼돈,아따 시원하네
주정민,어짜피 한국은 중국몽 속에 살고 있고 이제 핑핑이 담당일진 도람푸도 내려갔으니 이젠 중국 세상이지 뭐
이름성,ㄹㅇ 다 지들껀데 코로나도 지들꺼하면 안대냐 너네 다 가져라 한복이며 이제는 영어가 중국 사투리란 궤변도 지껄이던데 그 대댄한 코로나도 너네꺼 해 역대급 대륙스케일 질병인데 딱 맞네
int 0,어우 진짜 시원하게 노빠꾸로 까주셔셔 감사합니다ㅋㅋㅋㅋㅋ사이다로 샤워한 느낌ㅋㅋㅋㄹㅇ맞말밖에 없다 정치인들 입꾹닫고 눈치보면서 방관하는데 한복문화는 언급 해줘야지 진짜... 우리껄 우리꺼라 당당하게 말을못하네
이미고인뉴비,"ㅈㄴ 잡혀갈거같은데 몸 처신 잘하새요..
김성회 여기서 죽나?"
짖어요개처럼,ㅋㅋㅋㅋㅋ 문화 대혁명때  역사책들 불태워버리더니 역사를 새로쓰네 ㅋㅋㅋㅋ ㅁㅊ놈들
김전환,핑핑이가 울었다. 마오~ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
RI NA,아ㅇㅅㅇ.....즐거웠다 니키....  삭제한다...
quartz 9,중국은 갈갈히 찢어져있던 2500년전 춘추전국시대에 현대에도 통용되는 철학적 발전을 했었지요. 저는 중국이 철학을 다시 선도해줬으면 하네요.
한마리가 죽고,"모두가 중국을 싫어한다..
이제 양복도 지들 옷이라고 하겠네"
전사소년제티,내가 이래서 중국겜은 절대 안하지ㅋㅋㅋ 중국겜들 돈벌어가는게 어마어마 하더만
이병태,열폭현상이 압도적인 숫자의 무뇌충과 콜라보 되면 볼 수 있는 환장의 똥꼬쇼!
송시현,멋지다
김봉영,이사람 전직업이 기자였나...
메이저장소,난 중국 좋던뎅..중국이 한 5호 17국 정도로 늘어났으면 좋겠다
봄날은간다,"정신병이 골수부터 머리끝까지..
저건 페미들도 못이겨.."
멸공,"민좃당과 중국 공산당과 당교 교류하는 판국에
민주당 민주 연구원 그리고 얼마전 이낙연도 발언했지.
조심해야 하는것은 중국 이주정책 , 상권. 부동산 장악 , 
중국산 물품 허가로 국내 점령 국내 공산품 만드는 국내 중소기업 줄어들고 차이나 게이트 같은 한국어 패치중국인 댓글공작 
대학교의 공산주의 사상을 가르치느 공자학원 
중국산 게임이 점점 점령하고 개인정보 유출 
보이싱 피싱 , 백도어 등등"
잣댔어콩쥐야,샤이닝니키 5천원 충전했었는데. 아깝소. 에잇 가져라 퉤테... 양심없는 중꿔놈들...
하늘연필,난 언젠가 한국어도 지네나라 말이라고 우길까봐 무서워...
306-06김우용,ㅋㅋㅋㅋ 중국은 어떻게 저렇게 ㅂㅅ같은 짓을 자처하고 나라욕을 쳐먹을까?
Victor J,"민족적 자존심 개소리 터는 불어터진 놈들은 그나마 돌아이짓도 국제레짐 상식선에서 하는 일본 앞에서는 개거품물줄 알면서, 국제사회가 공인한 개 상돌아이 중국에게는 눈치보고 뒷구녕 핥고 이 악물고 못본척 하느라 절대 대응 안함ㅎ 그 존귀한 민족적 자존심은 반일에만 적용되고 동북공정엔 절대 적용 안하는 극단적인 이중잣대 ㅋ"
나카타 나탈리,"중국산은 믿고 거릅니다.
Band in china"
Heasoon Yoon,통계조사 출처 좀요
Z Ha,증국인들이 너무 불쌍함.. 평생 공산당 부품으로 살다 죽을거 아냐..
Jamming Code,명나라가 중국역사가 아니자너 벌레들아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
맘바,두한아...! 상대는 이 애비를 죽인 공산당이다....!!
ABSENT,아니 감히 지식백과가 글로벌 정치 경제를 범하네요 진심으로 응원합니다. 심지어 멘트 하나 하나가 졸라 멋있어 이럴거면 정치 갑시다!!!!!는 아니고 그냥 아구리 털어줘요 사랑합니다. 감사합니다 오늘도 홧팅!!!
jo jo,"이런거 보면 절대 권력에서 비롯된 국가의 사상주입과 검열, 조작, 통제가 얼마나 무서운지 다시금 깨닫는다. 1984 읽을때도 느꼈지만 당이 골드슈타인과 빅브라더의 존재를 통해 사람들을 당령에 경도되게끔 하고 사고의 운신 폭을 좁히고 증오의 대상으로 삼으면서 체제를 존속시키는 그릇된 순환을 21세기 현재 중국을 통해 그대로 보고 있으니. 조지 오웰의 안목은 시대만 바뀔뿐 여전히 유효하다는게 다시금 느껴지네."
김유빈,음 중국 사람들 다 착해졌으면 좋겠다.
맛있는 어묵핫바,중국 너무 불안하다...
신기한아이,ㅅㅂ 치파오는 아프리카 전통 의상에서 유래된거냐
커피볶는곰돌이,"국민은 반중이지만
정부는 친중인걸요
ㅇㅅㅇ"
NA GA,쿠키 무쳤냐고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
SY7007,"얘네들 자국내에서 성경도 왜곡하고 삽화도 전부 중국인으로 바꿔났음(삽화부분은 현지화부분에서 가능하다함). 영어, 프랑스어, 러시아어, 독일어, 일본어, 한국어를 비롯한 모든 언어가 다 중국에서 비롯되었다고 우겨대는 연구 진행중임 ㅇㅇ
+) 고대 이집트, 그리스, 로마 문명 중국에서 영항받은거
- 15-16세기 이전 유럽역사X
- 셰익스피어는 조작된 거
- 18-19세기 유럽이 시민혁명, 근대화 중국에서 영향받은거
- 마르크스주의 중국에서 나온거
대략 이런데 국제적으로 여러국가에서 인정받았다는 중국인 연구자들이 이딴걸 학회세워서 연구하고 2019년에 발표함
[출처]
중국원문기사
http://xj.sina.cn/life/2019-08-26/detail-ihytcern3676238.d.html?from=wap
국내기사
https://v.kakao.com/v/NErBVUTcFO"
샤크,"무서운건 우리나라도 페미랑 종북좌파에 먹히면서 문화대혁명 시즌 2 시동 걸고 있다는거
홍위병 대깨문들이 지들 남조선 수령님 욕하면 때로 몰려 가서 린치하고 어떻게든 사회적으로 말살 시키려 하고 페미들 눈치 보느라 각종 문화 산업 전반이 90년대로 회귀중"
박수환,"만주족도 중국 소수민족인데 치파오는 배격하고, 
조선족 복장은 또 지들꺼라고 하네. 
거 일관성 너무 없는 거 아뇨?"
오일이,"성회형.. 절대 사라지면안돼.. 중국여행같은거.. 꿈도안꿔줬으면 좋겠어
난 성회형이 정말 행복하게 오래살았으면 좋겠어.."
z z,다른 나라였으면 의심이라도 하겠는데 중국이니까 진짜인 것 같아 ㅋㅋㅋ
switch," @z z  저건 아님. 원래 카톨릭 삽화는 현지화 시켜서 우리나라에서도 한복입은 예수나 마리아 그림 있는데 혐한들이 이거랑 똑같은 논리 펼침.
언어 관련해서는 이미 어족이 다 나눠져 있기에 저렇게 전세계에 광역어그로 끌지도 못함
중국은 팩트만으로도 욕처먹을거리가 몇트럭이 있기에 굳이 이렇게 유언비어 안 퍼뜨려도 됨"
SY7007," @switch  삽화는 알겠는데 성서에 없는 구절 끼워넣어서 왜곡한거 팩트에요. 이것때문에 바티칸에서도 항의한거고 유언비어가 아니라 실제로 중국에서 이런 연구 2019년에 발표했어요. 위에  링크 들어가보셈. 영어로 번역해서 봐봤는데 어처구니가 없습니다.
- 고대 이집트, 그리스, 로마 문명 중국에서 영항받은거
- 15-16세기 이전 유럽역사X
- 18-19세기 유럽이 시민혁명, 근대화 중국에서 영향받은거
- 마르크스주의 중국에서 나온거
대략 이런데 국제적으로 여러국가에서 인정받았다는 중국인 연구자들이 이딴걸 학회세워서 연구하고 발표한겁니다."
SY7007," @中華民國萬歲!  이런거에 넘어가는 놈들이 있으니까 중국이 황당무계한 역사왜곡 프로젝트를 계속하는 듯 ㅋㅋㅋㅋㅋㅋ
기사읽고오기나 해라"
SY7007," @中華民國萬歲!  고전 라틴어의 가장 큰 특징은 모든 글자를 다 발음한다는 것이다. 이는 고대 그리스어, 중국어 등 모든 고대어의 공통적 특성이다. 고대에는 글씨를 쓰기도 어렵고 글씨를 쓸 판조차도 넉넉하지 않았던 시절이었던걸 생각하면 당연한일이다.  
모든 고대어의 공통특징을 가지고 고대중국어랑 라틴어가 유사함! 이런 결론 내리는게 이상한거 알고나 있는지 모르겠네? 인도-유럽어족 시작에 대한 가설이 주류학계에서 스텝 발생설과  아나톨리아 기원설로 나뉜다는건 알고있냐?"
SY7007, @中華民國萬歲!  고대사를 중국자료로 공부하고 연구하는건 내 알바 아닌데 그렇게 공부하면서 모든 언어가 중국기원이다!라고 주장하는 건 관계있다. 고대 고구려어도 한국어족이 아니라 중국티베트어족으로 볼 놈이네
Boris,"마르크스, 무덤 속에서 뒷목잡고 쓰러져..."
해물미트볼,와 정말 그들만의 리그 ㅋㅋㅋㅋㅋㅋㅋㅌ거대한 우물이다 진짜 ㅋㅋㅋ
ᄋᄋ,잼민이 쟤 딱봐도 전형적인 댓글부대 중국인이잖아ㅋㅋ
Takeda Shimamoto,예전 비정상회담 때 장위안 보는거 같네ㅋㅋㅋㅋㅋㅋ
페놀프탈레인,[검열]
Еlvin Choi,ㅇㅇㅇㅇㅇ중국가면 신비로와질수있으니까 절대 가면 앙댐 ㅇㅇㅇ
오일이, @Еlvin Choi  인체신비전..
dk, @中華民國萬歲!  짱
dk, @中華民國萬歲!  조선족
